OZLotto Result Sample Size: 613
selected: OZLottoDraw{nums=9, 23, 25*, 28, 31, 32*, 35, division=0}
selected: OZLottoDraw{nums=2, 5, 12, 19, 32*, 42, 43, division=0}
selected: OZLottoDraw{nums=10, 19, 21, 22*, 31*, 35, 42, division=0}
selected: OZLottoDraw{nums=1*, 4, 8*, 21, 25, 33*, 38, division=0}
selected: OZLottoDraw{nums=6, 17, 20, 22, 30, 31, 34, division=0}
selected: OZLottoDraw{nums=9*, 17, 24*, 27*, 31, 36*, 40, division=2}
selected: OZLottoDraw{nums=8, 15*, 21*, 25, 26, 32*, 45*, division=2}
selected: OZLottoDraw{nums=2, 8, 15, 28, 31, 42, 43*, division=0}
selected: OZLottoDraw{nums=2, 7, 9, 10, 14, 30, 37*, division=0}
selected: OZLottoDraw{nums=2, 11, 12, 25, 26, 32, 33, division=0}
selected: OZLottoDraw{nums=6, 14, 18, 25, 31*, 36, 40, division=0}
selected: OZLottoDraw{nums=2, 9, 13*, 26*, 28, 42, 43, division=0}
selected: OZLottoDraw{nums=1, 3*, 20, 22, 25, 26, 28*, division=0}
selected: OZLottoDraw{nums=5, 6, 8*, 11, 12, 40, 43, division=0}
selected: OZLottoDraw{nums=4, 13*, 22, 24, 37*, 38, 42, division=0}
selected: OZLottoDraw{nums=8*, 14, 31, 33*, 34*, 37*, 43, division=2}
selected: OZLottoDraw{nums=4, 11, 22*, 24, 27*, 35, 43*, division=0}
selected: OZLottoDraw{nums=2*, 6, 13*, 31, 33, 42*, 43, division=0}
selected: OZLottoDraw{nums=11*, 13, 16*, 18*, 27*, 35, 37, division=2}
selected: OZLottoDraw{nums=17*, 26, 31*, 33, 38, 40, 43*, division=0}
selected: OZLottoDraw{nums=8, 10, 17, 22*, 30, 31*, 37, division=0}
selected: OZLottoDraw{nums=2, 12, 15*, 23, 29, 37, 43*, division=0}
selected: OZLottoDraw{nums=2, 5, 8, 26, 28, 37*, 42, division=0}
selected: OZLottoDraw{nums=4, 7, 15, 19, 25*, 30, 34, division=0}
selected: OZLottoDraw{nums=6, 7*, 16, 27*, 40, 41, 43, division=0}
selected: OZLottoDraw{nums=1*, 18, 23*, 24*, 32, 36, 43, division=0}
selected: OZLottoDraw{nums=10, 11, 15, 24, 27, 35, 43*, division=0}
selected: OZLottoDraw{nums=6, 9, 16, 18, 31*, 32, 42, division=0}
selected: OZLottoDraw{nums=1, 5, 10, 15, 26, 32, 43*, division=0}
selected: OZLottoDraw{nums=4, 5, 6, 17, 31, 34, 40, division=0}
selected: OZLottoDraw{nums=3, 13, 18, 25, 27, 28, 32*, division=0}
selected: OZLottoDraw{nums=6, 14, 16, 25, 30*, 39*, 43, division=0}
selected: OZLottoDraw{nums=19*, 27, 31*, 34, 38, 41*, 43, division=0}
selected: OZLottoDraw{nums=8, 14, 16, 22, 25, 26*, 27*, division=0}
selected: OZLottoDraw{nums=4*, 11, 21*, 25, 31, 35, 42, division=0}
selected: OZLottoDraw{nums=1, 3, 9, 20, 22, 25*, 28*, division=0}
selected: OZLottoDraw{nums=5, 15*, 17, 19, 31*, 41, 43, division=0}
selected: OZLottoDraw{nums=1, 6, 10, 12*, 21, 22*, 31, division=0}
selected: OZLottoDraw{nums=6*, 14, 23*, 30, 31, 32, 41, division=0}
selected: OZLottoDraw{nums=1*, 3, 12, 14, 17, 28*, 31, division=0}
selected: OZLottoDraw{nums=3, 6, 8, 22, 29*, 36, 43, division=0}
selected: OZLottoDraw{nums=2, 6, 7, 27*, 31, 41*, 43*, division=0}
selected: OZLottoDraw{nums=3, 9*, 12, 18, 19*, 21, 40, division=0}
selected: OZLottoDraw{nums=2, 3*, 19, 25, 31, 37, 44, division=0}
selected: OZLottoDraw{nums=4, 8, 13, 15, 25, 35, 40, division=0}
selected: OZLottoDraw{nums=6, 11, 19, 21, 23, 27, 40, division=0}
selected: OZLottoDraw{nums=19*, 22, 25, 27, 29, 31*, 43, division=0}
selected: OZLottoDraw{nums=2, 3, 16, 19*, 20, 22, 34*, division=0}
selected: OZLottoDraw{nums=5, 19, 20, 27, 36, 37, 45, division=0}
selected: OZLottoDraw{nums=2, 14, 16*, 21*, 23*, 31, 37, division=0}
selected: OZLottoDraw{nums=6*, 10, 16, 17, 20, 27, 31, division=0}
selected: OZLottoDraw{nums=7*, 9, 11, 17, 22, 25, 27, division=0}
selected: OZLottoDraw{nums=2, 8, 9, 10, 24, 37*, 40*, division=0}
